field,fold,selection_r2,selection_spearman
f00_ra156_p05,0,0.023965088340182406,0.17260327045036108
f07_ra216_m05,0,0.005191925566503719,0.07467855753419012
f13_ra228_p05,0,0.024151177357246922,0.17381059764266
f23_ra012_m35,0,0.0009154665514469196,0.07250309314247613
f29_ra312_m25,0,0.0234999277043505,0.18008064759415765
f35_ra168_m25,0,0.015174509213475407,0.14545026081658033
f01_ra132_m05,1,0.009799032049679357,0.10946790145093302
f08_ra336_m25,1,0.02919355610172636,0.1972870121743848
f15_ra144_m25,1,0.015648237098587092,0.09608256871751604
f24_ra012_m55,1,-0.006836048416608342,0.09700262941390275
f30_ra000_m45,1,0.01916121686124872,0.16227195336490075
f36_ra168_m45,1,-0.040128540838271,0.07336370610790999
f02_ra144_p15,2,0.03390689483813891,0.2086371826722643
f09_ra216_p15,2,0.02610275141638052,0.1605533701201127
f17_ra048_m15,2,-0.0034996027112763617,-0.012911731866197722
f25_ra228_m35,2,0.009260007185839858,0.12444906553007738
f31_ra132_p05,2,0.005856721950442845,0.10932611253728533
f37_ra336_m55,2,-0.001888204963793827,0.04681060099868906
f03_ra036_m35,3,-0.009047782027968188,0.03315432211438435
f10_ra240_m35,3,-0.15998644031495024,0.10549697901657389
f19_ra132_p25,3,-0.0017979895775164234,0.1300987924093151
f26_ra312_p05,3,0.0022297690988003493,0.08717162349446371
f32_ra024_m35,3,0.000994547929242362,0.02581370521696272
f39_ra084_m55,3,-0.03083246954995933,0.04217641344469595
f04_ra180_m05,4,0.021569842634677316,0.17486226178878617
f11_ra060_m35,4,0.01829090278240242,0.14548206183625118
f20_ra120_p25,4,0.0012593535884964924,0.06708645020736867
f27_ra060_m05,4,0.01167754748995442,0.11865504725781915
f33_ra348_p15,4,-0.0022260553385184956,0.1262786520379149
f40_ra192_m35,4,-0.013704443128532917,-0.09283166082082372
f06_ra072_m05,5,0.028714555632413097,0.18498653591632794
f12_ra312_m05,5,0.009336956354705217,0.08956264160451789
f22_ra036_p05,5,0.007655061473919589,0.048763903713458484
f28_ra192_p05,5,0.017105143223651642,0.13082987240613791
f34_ra000_m15,5,-0.0045412518265197654,0.1292701099566225
f41_ra348_m25,5,0.016897606102567075,0.14653152459893215
