sample,mask,method,hidden_fraction,mse,corr,n_test_patches
real,center25,mean,0.25,1.0129971945756533,0.02504611208985437,256
real,center25,gaussian,0.25,1.0614960538819687,0.12298314863024655,256
real,center25,pca,0.25,1.4272098005416094,0.08479060553556814,256
real,center25,knn20,0.25,1.030425963556102,0.09580518855980999,256
real,random25,mean,0.25,1.0314459446857762,0.03239085992605234,256
real,random25,gaussian,0.25,1.066075964291548,0.1522886105826321,256
real,random25,pca,0.25,1.3236152072699854,0.11781455582225359,256
real,random25,knn20,0.25,1.0486889169154743,0.09570320429976331,256
real,corner25,mean,0.25,1.057172503138327,0.028874314743762328,256
real,corner25,gaussian,0.25,1.0992986209368636,0.11112730223966505,256
real,corner25,pca,0.25,1.5049593178596272,0.058962635634207373,256
real,corner25,knn20,0.25,1.0853153502744397,0.058798445046279346,256
real,stripe25,mean,0.25,0.9913011255293744,0.01484961973677076,256
real,stripe25,gaussian,0.25,1.0373752955017348,0.13616020066091003,256
real,stripe25,pca,0.25,1.3307586205578046,0.10577374474569694,256
real,stripe25,knn20,0.25,1.0035843849668642,0.10529103862397535,256
spatial_permutation_null,center25,mean,0.25,1.0491873455149354,-0.020170099799543595,256
spatial_permutation_null,center25,gaussian,0.25,1.1653029385104823,0.015582660763017907,256
spatial_permutation_null,center25,pca,0.25,1.5471329215918257,0.0052206184403968394,256
spatial_permutation_null,center25,knn20,0.25,1.0882587452296137,0.023300711403405103,256
spatial_permutation_null,random25,mean,0.25,1.042633598591546,0.005391150197354041,256
spatial_permutation_null,random25,gaussian,0.25,1.168891301406136,-0.0017524647883668646,256
spatial_permutation_null,random25,pca,0.25,1.527143500587918,0.0033668445646579514,256
spatial_permutation_null,random25,knn20,0.25,1.0863962984238071,0.016033337411470127,256
spatial_permutation_null,corner25,mean,0.25,1.0426088191677638,0.016896892264236192,256
spatial_permutation_null,corner25,gaussian,0.25,1.166580004568703,-0.002062556613126105,256
spatial_permutation_null,corner25,pca,0.25,1.5270495584194692,-0.002519940308878848,256
spatial_permutation_null,corner25,knn20,0.25,1.0904657204599575,0.00402806438075352,256
spatial_permutation_null,stripe25,mean,0.25,1.0947831036630553,-0.026012465805471105,256
spatial_permutation_null,stripe25,gaussian,0.25,1.2229589530804934,-0.005426340178771059,256
spatial_permutation_null,stripe25,pca,0.25,1.5799423493969265,-0.0052800616727315544,256
spatial_permutation_null,stripe25,knn20,0.25,1.1359650506941295,0.026242434890343117,256
