patch_cells,patch_arcmin,hole_arcmin,field,sample,gaussian_mse,gaussian_corr,void_auc,overdense_auc,peak_auc
4,1.875,0.9375,cosmos,real,0.8659087630593536,0.268007597144563,0.6992346938775509,0.7431946182728411,0.6519607843137255
4,1.875,0.9375,cosmos,cell_permutation,0.9504257762812662,0.04114366433609242,0.5117197137922527,0.5837903150850451,0.4794921875000001
4,1.875,0.9375,cosmos,matched_shift,0.9382075581947682,-0.02324871963830985,0.46437074829931974,0.4450093867334167,0.4853883861236802
4,1.875,0.9375,xmm_lss,real,1.1674922344437122,0.3151248461760496,0.7313953488372092,0.8197109689647002,0.699375
4,1.875,0.9375,xmm_lss,cell_permutation,1.369237307819627,0.007595484290400176,0.45545235638114895,0.43870967741935485,0.4932186313260482
4,1.875,0.9375,xmm_lss,matched_shift,1.2990056505698826,-0.018858164856427828,0.5464432284541725,0.50398799652531,0.4702678571428571
4,1.875,0.9375,cdfs,real,1.0688007653467753,0.18900908273320619,0.6409592691282833,0.6573845347705667,0.6401079763148728
4,1.875,0.9375,cdfs,cell_permutation,1.1474158358519246,-0.0038255571224558972,0.48639851197395945,0.4754732178815948,0.44867934268261206
4,1.875,0.9375,cdfs,matched_shift,1.115477618776576,-0.03283769265295125,0.478340312143129,0.4878359158619657,0.4499303378613724
4,1.875,0.9375,elais_s1,real,0.666549999720472,0.21603870895229088,0.6961458674527787,0.6999775432292836,0.638495575221239
4,1.875,0.9375,elais_s1,cell_permutation,0.7207879464743878,-0.010383810097485097,0.5892857142857143,0.4875364922524141,0.5381070542360865
4,1.875,0.9375,elais_s1,matched_shift,0.708556143952382,-0.012242838128185217,0.5864177311933617,0.4927764054195673,0.49336283185840707
4,1.875,0.9375,south_045m30,real,0.6681499127432027,0.10415822854474567,0.6133160956690369,0.5677556818181818,0.6392676767676767
4,1.875,0.9375,south_045m30,cell_permutation,0.7406526101472994,0.029037187078081866,0.46063348416289596,0.5516181758744687,0.4994400895856663
4,1.875,0.9375,south_045m30,matched_shift,0.6870361488195804,-0.014440428516113267,0.449256625727214,0.4970880681818182,0.4666666666666666
4,1.875,0.9375,south_075m45,real,1.1084135699343869,0.1564811465561667,0.6411258012820512,0.6528727770177839,0.5674032754058499
4,1.875,0.9375,south_075m45,cell_permutation,1.0672402373398442,0.011996766954341605,0.45543981481481477,0.5811521811521813,0.4536024670591534
4,1.875,0.9375,south_075m45,matched_shift,1.1474657399832053,0.00780887041297954,0.5240384615384616,0.5424760601915184,0.5074018450976185
4,1.875,0.9375,south_105m35,real,1.1359180619036682,0.16077118101287652,0.6443749999999999,0.6628389154704944,0.6222156222156222
4,1.875,0.9375,south_105m35,cell_permutation,1.1002856339708393,0.018202693087330937,0.5048828125,0.5730972937676848,0.5071157834513338
4,1.875,0.9375,south_105m35,matched_shift,1.1688907149961398,0.003265469807376797,0.49714285714285716,0.5243221690590112,0.5897683397683398
4,1.875,0.9375,south_135m25,real,0.9679218741320685,0.1184309544520108,0.6065414793264567,0.6407960199004976,0.6443250377073907
4,1.875,0.9375,south_135m25,cell_permutation,1.0003633773890455,-0.01680849277345659,0.5282306763285024,0.46380832282471623,0.4579611650485437
4,1.875,0.9375,south_135m25,matched_shift,0.9732416086331118,0.017168707174808326,0.4530547474213171,0.484124830393487,0.4846342383107089
4,1.875,0.9375,south_210m35,real,1.186310655221446,0.16170941218167822,0.6027324879227053,0.6831181252989001,0.5609644297763109
4,1.875,0.9375,south_210m35,cell_permutation,1.2650938360773205,0.03829040649934358,0.5264928511354079,0.5388392857142856,0.5408214166943798
4,1.875,0.9375,south_210m35,matched_shift,1.2308457908103003,-0.03168850110628769,0.4741847826086956,0.5082735533237686,0.5045837917125047
4,1.875,0.9375,des_315m45,real,0.8799610574872404,0.16176593505432546,0.6456908344733242,0.6003472222222223,0.5388888888888889
4,1.875,0.9375,des_315m45,cell_permutation,0.943346547535299,0.03665353574748202,0.4251799557032115,0.5828701077708452,0.567965367965368
4,1.875,0.9375,des_315m45,matched_shift,0.9114199552843342,0.05173980170106794,0.573187414500684,0.4704861111111111,0.5363425925925926
