field,patch_y,patch_x,z1,z2,gmm3
south_345m30,6,2,2.0108689615007584,1.3205170982989278,2
south_345m30,6,3,1.1428209979804487,-0.2906447526073279,2
south_345m30,6,4,1.1809888819000822,0.06292431120015568,2
south_345m30,6,5,1.015462192638402,0.9120676776209429,2
south_345m30,6,6,1.481030374364933,1.3720606138147542,2
south_345m30,6,7,1.2678011271660776,0.23638285501504042,2
south_345m30,7,0,-4.292994185871193,0.46378548536122793,0
south_345m30,7,1,-4.556467910243733,0.7479410876431019,0
south_345m30,7,2,-5.423660212400252,0.5189064221704615,0
south_345m30,7,3,-3.4980054124593,1.5495660455588873,0
south_345m30,7,4,-3.478964388798293,0.6978121386200554,0
south_345m30,7,5,-2.357367891222954,-1.0034140932812448,0
south_345m30,7,6,0.36027768208590605,-1.2867651436455736,0
south_345m30,7,7,-1.8268161037740867,-1.835023946915845,0
