motif,n_fields,ring_mean_median_auc,full8_median_auc,full8_better_fields,mean_full8_minus_ring_mean,exact_one_sided_signflip_p
void,12,0.7023094745144434,0.7005602240896358,3,-0.009403660802085462,0.9716796875
overdense,12,0.7388841314801396,0.7213784859279226,3,-0.01155423594085376,0.952392578125
peak,12,0.6133315058479532,0.6412743506493506,7,-0.010989208054127642,0.68603515625
