field,log1p_median,robust_scale,mean_count
cosmos,2.1972245773362196,0.3725987713692717,8.197509765625
xmm_lss,2.3978952727983707,0.2975143730921852,10.02001953125
cdfs,2.302585092994046,0.33083262917844797,9.1435546875
elais_s1,2.0794415416798357,0.4265174406170102,7.562255859375
south_045m30,2.0794415416798357,0.4265174406170102,7.68603515625
south_075m45,1.9459101490553132,0.3725987713692717,6.584228515625
south_105m35,2.0794415416798357,0.33083262917844797,7.406982421875
south_135m25,1.791759469228055,0.4265174406170102,5.234619140625
south_210m35,2.0794415416798357,0.33083262917844797,7.03466796875
des_315m45,2.1972245773362196,0.3725987713692717,7.7548828125
south_330m45,2.0794415416798357,0.4265174406170102,7.11328125
south_345m30,1.6094379124341003,0.4988537380146103,4.133056640625
