patch_cells,patch_arcmin,hole_arcmin,null,metric,real_median,null_median,positive_fields,mean_paired_advantage,exact_one_sided_signflip_p
4,1.875,0.9375,cell_permutation,gaussian_corr,0.1661082803700536,0.01509973002083627,12,0.18555962814525975,0.000244140625
4,1.875,0.9375,cell_permutation,void_auc,0.645032917236662,0.4925284613533368,12,0.17495324104958276,0.000244140625
4,1.875,0.9375,cell_permutation,overdense_auc,0.6625845062789366,0.5279085608612917,12,0.16001931841707626,0.000244140625
4,1.875,0.9375,cell_permutation,peak_auc,0.6388816259944579,0.48635540941302413,11,0.14288621947189323,0.000732421875
4,1.875,0.9375,cell_permutation,gaussian_mse,0.9846597523848878,1.0164821076850932,10,0.052080951802728155,0.006103515625
4,1.875,0.9375,matched_shift,gaussian_corr,0.1661082803700536,-0.013341633322149242,12,0.20796541206761607,0.000244140625
4,1.875,0.9375,matched_shift,void_auc,0.645032917236662,0.4877415846429931,12,0.16244252977483822,0.000244140625
4,1.875,0.9375,matched_shift,overdense_auc,0.6625845062789366,0.4970391797219771,12,0.18335850584636723,0.000244140625
4,1.875,0.9375,matched_shift,peak_auc,0.6388816259944579,0.4893756089910436,12,0.13954135296313938,0.000244140625
4,1.875,0.9375,matched_shift,gaussian_mse,0.9846597523848878,1.0443596137048439,12,0.05437741736027509,0.000244140625
8,3.75,1.875,cell_permutation,gaussian_corr,0.12103263795340605,0.0021280583797931418,11,0.1037405285162964,0.00048828125
8,3.75,1.875,cell_permutation,void_auc,0.7124788376889217,0.508265306122449,12,0.19882331648801985,0.000244140625
8,3.75,1.875,cell_permutation,overdense_auc,0.718038686459739,0.4921257062146893,12,0.24160163072568508,0.000244140625
8,3.75,1.875,cell_permutation,peak_auc,0.6420919723551303,0.4572800784121539,9,0.11182952916300987,0.04736328125
8,3.75,1.875,cell_permutation,gaussian_mse,1.052618804568839,1.0850746939518512,8,0.04229674061831204,0.067626953125
8,3.75,1.875,matched_shift,gaussian_corr,0.12103263795340605,-0.0061265090399648834,12,0.13520094460809715,0.000244140625
8,3.75,1.875,matched_shift,void_auc,0.7124788376889217,0.5134690915300546,12,0.21564629168335214,0.000244140625
8,3.75,1.875,matched_shift,overdense_auc,0.718038686459739,0.45458922650807243,12,0.27453576668307184,0.000244140625
8,3.75,1.875,matched_shift,peak_auc,0.6420919723551303,0.47658799533799534,9,0.12934784050705161,0.004638671875
8,3.75,1.875,matched_shift,gaussian_mse,1.052618804568839,1.101296286745257,11,0.05311504231882306,0.000732421875
16,7.5,3.75,cell_permutation,gaussian_corr,0.023544187158836064,-0.005769950873957133,10,0.02928158890259581,0.002685546875
16,7.5,3.75,cell_permutation,void_auc,0.8363636363636364,0.4835497835497836,9,0.3283669455544455,0.0048828125
16,7.5,3.75,cell_permutation,overdense_auc,0.8288961038961038,0.45776515151515146,11,0.29222019300144303,0.00048828125
16,7.5,3.75,cell_permutation,peak_auc,0.6039627039627039,0.4067460317460318,7,0.2381257245840579,0.0234375
16,7.5,3.75,cell_permutation,gaussian_mse,2.4072317568089376,2.452445044536706,11,0.1616945440868754,0.0009765625
16,7.5,3.75,matched_shift,gaussian_corr,0.023544187158836064,-0.01684305979820011,10,0.04498691667893837,0.00146484375
16,7.5,3.75,matched_shift,void_auc,0.8363636363636364,0.5333333333333333,11,0.29939164370982546,0.00048828125
16,7.5,3.75,matched_shift,overdense_auc,0.8288961038961038,0.5409090909090909,11,0.22221320346320347,0.00048828125
16,7.5,3.75,matched_shift,peak_auc,0.6039627039627039,0.515625,5,0.03366154678654677,0.375
16,7.5,3.75,matched_shift,gaussian_mse,2.4072317568089376,2.5075729739506487,12,0.15893765417496153,0.000244140625
