field,motif,features,auc
south_135m25,peak,ring_mean,0.5677530017152659
south_135m25,peak,ring_mean_std,0.548885077186964
south_135m25,peak,ring_mean_gradient,0.5608919382504288
south_135m25,peak,four_sides,0.5849056603773585
south_135m25,peak,full8,0.5540308747855918
south_210m35,void,ring_mean,0.716183574879227
south_210m35,void,ring_mean_std,0.717391304347826
south_210m35,void,ring_mean_gradient,0.7294685990338164
south_210m35,void,four_sides,0.7065217391304347
south_210m35,void,full8,0.7210144927536232
south_210m35,overdense,ring_mean,0.7666666666666667
south_210m35,overdense,ring_mean_std,0.762962962962963
south_210m35,overdense,ring_mean_gradient,0.7555555555555555
south_210m35,overdense,four_sides,0.7518518518518519
south_210m35,overdense,full8,0.7555555555555555
south_210m35,peak,ring_mean,0.6586538461538461
south_210m35,peak,ring_mean_std,0.6586538461538461
south_210m35,peak,ring_mean_gradient,0.6634615384615385
south_210m35,peak,four_sides,0.6346153846153846
south_210m35,peak,full8,0.6650641025641025
des_315m45,void,ring_mean,0.6687179487179488
des_315m45,void,ring_mean_std,0.6676923076923078
des_315m45,void,ring_mean_gradient,0.6615384615384615
des_315m45,void,four_sides,0.6287179487179487
des_315m45,void,full8,0.6605128205128206
des_315m45,overdense,ring_mean,0.736842105263158
des_315m45,overdense,ring_mean_std,0.7468671679197996
des_315m45,overdense,ring_mean_gradient,0.7192982456140351
des_315m45,overdense,four_sides,0.6240601503759399
des_315m45,overdense,full8,0.6892230576441103
des_315m45,peak,ring_mean,0.42828282828282827
des_315m45,peak,ring_mean_std,0.45252525252525255
des_315m45,peak,ring_mean_gradient,0.38181818181818183
des_315m45,peak,four_sides,0.3898989898989899
des_315m45,peak,full8,0.4161616161616162
south_330m45,void,ring_mean,0.6835937500000001
south_330m45,void,ring_mean_std,0.6705729166666666
south_330m45,void,ring_mean_gradient,0.6549479166666666
south_330m45,void,four_sides,0.6692708333333334
south_330m45,void,full8,0.6536458333333334
south_330m45,overdense,ring_mean,0.7083333333333334
south_330m45,overdense,ring_mean_std,0.7067307692307692
south_330m45,overdense,ring_mean_gradient,0.7083333333333333
south_330m45,overdense,four_sides,0.7227564102564102
south_330m45,overdense,full8,0.7243589743589743
south_330m45,peak,ring_mean,0.5220338983050847
south_330m45,peak,ring_mean_std,0.5457627118644068
south_330m45,peak,ring_mean_gradient,0.5288135593220339
south_330m45,peak,four_sides,0.4745762711864407
south_330m45,peak,full8,0.5457627118644068
south_345m30,void,ring_mean,0.7812807881773399
south_345m30,void,ring_mean_std,0.7822660098522167
