mask,field,sample,method,hidden_fraction,mse,corr
center25,south_330m45,real,gaussian,0.25,0.778052820436507,0.12223530158842717
center25,south_330m45,real,pca,0.25,1.0920916310534654,0.02641853293427673
center25,south_330m45,real,knn20,0.25,0.8092608689122756,0.059709394746111186
center25,south_330m45,matched_shift,mean,0.25,0.7660425120771441,-0.008565648876783792
center25,south_330m45,matched_shift,gaussian,0.25,0.8115776692428862,-0.015575654097349423
center25,south_330m45,matched_shift,pca,0.25,1.101630398209788,0.027119454034336108
center25,south_330m45,matched_shift,knn20,0.25,0.7977212614215726,0.04851745771229358
center25,south_345m30,real,mean,0.25,1.1037595448359838,-0.019367437460270868
center25,south_345m30,real,gaussian,0.25,1.0516164836695376,0.22454078069020394
center25,south_345m30,real,pca,0.25,1.4247636324401785,0.1157798126327052
center25,south_345m30,real,knn20,0.25,1.0859742931630014,0.16167869687393766
center25,south_345m30,matched_shift,mean,0.25,1.1037595448359838,-0.019367437460270868
center25,south_345m30,matched_shift,gaussian,0.25,1.1751026658954788,-0.018734180289490546
center25,south_345m30,matched_shift,pca,0.25,1.6444511434470903,-0.031008364474645264
center25,south_345m30,matched_shift,knn20,0.25,1.1550673060001717,-0.011958075396644018
corner25,cosmos,real,mean,0.25,0.9514189232212871,-0.025200216950083044
corner25,cosmos,real,gaussian,0.25,0.9183517778134117,0.2143049747991332
corner25,cosmos,real,pca,0.25,1.3710910802918064,0.09429124153980502
corner25,cosmos,real,knn20,0.25,0.9271001686140924,0.16769560843656586
corner25,cosmos,matched_shift,mean,0.25,0.9514189232212871,-0.025200216950083044
corner25,cosmos,matched_shift,gaussian,0.25,1.0361405716626533,-0.0379085012838078
corner25,cosmos,matched_shift,pca,0.25,1.5313450801363733,0.004448339544742177
corner25,cosmos,matched_shift,knn20,0.25,1.0072804162725615,-0.022564063261716897
corner25,xmm_lss,real,mean,0.25,1.3148078418613467,-0.02386248875523035
corner25,xmm_lss,real,gaussian,0.25,1.3436322151255942,0.123158975198849
corner25,xmm_lss,real,pca,0.25,1.9648049055526826,0.030254720787532403
corner25,xmm_lss,real,knn20,0.25,1.3092859330124003,0.1129434271445016
corner25,xmm_lss,matched_shift,mean,0.25,1.3148078418613467,-0.02386248875523035
corner25,xmm_lss,matched_shift,gaussian,0.25,1.3982125988709835,-0.004426780178452775
corner25,xmm_lss,matched_shift,pca,0.25,2.048955330851288,-0.006269082199071185
corner25,xmm_lss,matched_shift,knn20,0.25,1.3565473795715515,0.006126021428370749
corner25,cdfs,real,mean,0.25,1.153808586861873,-0.0376525432626931
corner25,cdfs,real,gaussian,0.25,1.2231229905791965,0.05103625750227024
corner25,cdfs,real,pca,0.25,1.7814839628812877,0.024516202968305967
corner25,cdfs,real,knn20,0.25,1.1823421890895658,0.048759306426192646
corner25,cdfs,matched_shift,mean,0.25,1.153808586861873,-0.0376525432626931
corner25,cdfs,matched_shift,gaussian,0.25,1.2220376098367627,0.007851154573127541
corner25,cdfs,matched_shift,pca,0.25,1.7482570897839849,-0.008382817988562372
corner25,cdfs,matched_shift,knn20,0.25,1.167494917862403,0.06874256431640494
corner25,elais_s1,real,mean,0.25,0.6391456096896468,-0.015262209494453316
corner25,elais_s1,real,gaussian,0.25,0.676005841102227,0.058412428463566694
corner25,elais_s1,real,pca,0.25,1.0846480158696417,-0.030813283451483608
corner25,elais_s1,real,knn20,0.25,0.6514314321967445,0.05946014280505643
corner25,elais_s1,matched_shift,mean,0.25,0.6391456096896468,-0.015262209494453316
corner25,elais_s1,matched_shift,gaussian,0.25,0.6875312836489421,0.009947207366615538
corner25,elais_s1,matched_shift,pca,0.25,0.9891786668470344,0.05048414264359991
corner25,elais_s1,matched_shift,knn20,0.25,0.7048237693410604,-0.003944518997552217
corner25,south_045m30,real,mean,0.25,0.726515911189154,0.035415015385285166
corner25,south_045m30,real,gaussian,0.25,0.753233417191675,0.05436754590193112
corner25,south_045m30,real,pca,0.25,1.0438899789414566,0.061650303336345164
corner25,south_045m30,real,knn20,0.25,0.7462789377653039,0.02698395390717457
corner25,south_045m30,matched_shift,mean,0.25,0.726515911189154,0.035415015385285166
corner25,south_045m30,matched_shift,gaussian,0.25,0.7716062181151655,0.0059897016700137
corner25,south_045m30,matched_shift,pca,0.25,1.0981785714617698,0.01558746742731021
corner25,south_045m30,matched_shift,knn20,0.25,0.7858744185186285,-0.02546601168377304
corner25,south_075m45,real,mean,0.25,1.1703927233319815,-0.016389458809271625
corner25,south_075m45,real,gaussian,0.25,1.1774764595324192,0.12115872028990068
corner25,south_075m45,real,pca,0.25,1.6133674740559307,0.09344825861968113
corner25,south_075m45,real,knn20,0.25,1.1782090680126578,0.06908388128874512
corner25,south_075m45,matched_shift,mean,0.25,1.1703927233319815,-0.016389458809271625
corner25,south_075m45,matched_shift,gaussian,0.25,1.241468085648811,-0.003222734343265959
corner25,south_075m45,matched_shift,pca,0.25,1.6827282390812623,0.024876833178857024
corner25,south_075m45,matched_shift,knn20,0.25,1.2570702990093978,-0.08115674594402456
corner25,south_105m35,real,mean,0.25,1.1352323834129114,-0.03100161951990542
corner25,south_105m35,real,gaussian,0.25,1.16928006917216,0.12398998802933994
corner25,south_105m35,real,pca,0.25,1.6345666585274916,0.07877856957114135
corner25,south_105m35,real,knn20,0.25,1.155964497744028,0.0723534829960071
corner25,south_105m35,matched_shift,mean,0.25,1.1352323834129114,-0.03100161951990542
corner25,south_105m35,matched_shift,gaussian,0.25,1.2325639644125232,-0.03770400772850255
corner25,south_105m35,matched_shift,pca,0.25,1.841388839513531,-0.025653769517154236
corner25,south_105m35,matched_shift,knn20,0.25,1.1801192982415865,-0.005359918742909114
corner25,south_135m25,real,mean,0.25,0.993261403952815,0.02089907657084631
corner25,south_135m25,real,gaussian,0.25,1.0461541686196614,0.06218189249288373
corner25,south_135m25,real,pca,0.25,1.5489290050684692,0.0006371894498199243
corner25,south_135m25,real,knn20,0.25,1.011702160992848,0.07007156368901317
corner25,south_135m25,matched_shift,mean,0.25,0.993261403952815,0.02089907657084631
corner25,south_135m25,matched_shift,gaussian,0.25,1.046116101686533,0.016077333608667057
corner25,south_135m25,matched_shift,pca,0.25,1.6113084734644585,0.01860920391022796
corner25,south_135m25,matched_shift,knn20,0.25,1.045725798637141,-0.027989767483683824
corner25,south_210m35,real,mean,0.25,1.3063130838524486,-0.011236679800276176
corner25,south_210m35,real,gaussian,0.25,1.3332861833298575,0.09629602765467875
corner25,south_210m35,real,pca,0.25,1.9182003479335035,0.017920908199071228
corner25,south_210m35,real,knn20,0.25,1.3417946178003117,0.03132962499210454
corner25,south_210m35,matched_shift,mean,0.25,1.3063130838524486,-0.011236679800276176
corner25,south_210m35,matched_shift,gaussian,0.25,1.3845702374089592,0.005285272919403213
corner25,south_210m35,matched_shift,pca,0.25,1.9946483432598936,-0.005324099234416843
corner25,south_210m35,matched_shift,knn20,0.25,1.3713963128460676,-0.04278300657574418
corner25,des_315m45,real,mean,0.25,0.9114151300875222,-0.07431319077150617
corner25,des_315m45,real,gaussian,0.25,0.909396882021122,0.11302164136136834
corner25,des_315m45,real,pca,0.25,1.2857681029295709,0.10181223336902676
corner25,des_315m45,real,knn20,0.25,0.9321685477329593,0.053167270642226844
corner25,des_315m45,matched_shift,mean,0.25,0.9114151300875222,-0.07431319077150617
corner25,des_315m45,matched_shift,gaussian,0.25,0.9760895469842651,-0.020616941048346295
corner25,des_315m45,matched_shift,pca,0.25,1.3793831569193662,-0.006391085051150069
corner25,des_315m45,matched_shift,knn20,0.25,0.9430666156206395,0.029544915261042307
corner25,south_330m45,real,mean,0.25,0.798155702536605,-0.014064834919907308
corner25,south_330m45,real,gaussian,0.25,0.8111713055066009,0.1248383400768692
corner25,south_330m45,real,pca,0.25,1.184763699273181,0.057887284399818495
corner25,south_330m45,real,knn20,0.25,0.8480043295425337,0.015836503672521075
corner25,south_330m45,matched_shift,mean,0.25,0.798155702536605,-0.014064834919907308
corner25,south_330m45,matched_shift,gaussian,0.25,0.869994415370146,-0.07151393055387258
corner25,south_330m45,matched_shift,pca,0.25,1.3147255461886114,-0.05800253337542775
corner25,south_330m45,matched_shift,knn20,0.25,0.8307691606622594,0.02417940810579341
corner25,south_345m30,real,mean,0.25,1.0512726714396567,-0.036774097201071165
corner25,south_345m30,real,gaussian,0.25,1.0166124683632614,0.20484449634651633
corner25,south_345m30,real,pca,0.25,1.4153641701974662,0.13705875830962705
corner25,south_345m30,real,knn20,0.25,1.0463355011444062,0.13063551940194904
corner25,south_345m30,matched_shift,mean,0.25,1.0512726714396567,-0.036774097201071165
corner25,south_345m30,matched_shift,gaussian,0.25,1.1546018497628798,-0.06841760928824799
corner25,south_345m30,matched_shift,pca,0.25,1.6868933791553333,-0.05523306383830928
corner25,south_345m30,matched_shift,knn20,0.25,1.1131819614373903,-0.04053063252447715
stripe25,cosmos,real,mean,0.25,0.9343923385764377,-0.046852285818900004
stripe25,cosmos,real,gaussian,0.25,0.8906125579215065,0.2359865819930185
stripe25,cosmos,real,pca,0.25,1.1566380649580066,0.18034599584797736
stripe25,cosmos,real,knn20,0.25,0.9356632820547909,0.1296224680688356
stripe25,cosmos,matched_shift,mean,0.25,0.9343923385764377,-0.046852285818900004
stripe25,cosmos,matched_shift,gaussian,0.25,0.9985264786989749,0.004360602938124158
