mask,field,sample,method,hidden_fraction,mse,corr
random25,south_135m25,matched_shift,gaussian,0.25,0.9848379918379111,0.03957303949582902
random25,south_135m25,matched_shift,pca,0.25,1.3999968604327722,0.05484458832629931
random25,south_135m25,matched_shift,knn20,0.25,0.9815217586144218,0.01282185287925403
random25,south_210m35,real,mean,0.25,1.2369698752422513,0.0021338910137051184
random25,south_210m35,real,gaussian,0.25,1.2738662486063204,0.10192615915432213
random25,south_210m35,real,pca,0.25,1.582569945152838,0.09362543899911052
random25,south_210m35,real,knn20,0.25,1.2534865899243237,0.07614841200499758
random25,south_210m35,matched_shift,mean,0.25,1.2369698752422513,0.0021338910137051184
random25,south_210m35,matched_shift,gaussian,0.25,1.3031747097968016,0.02157070918132976
random25,south_210m35,matched_shift,pca,0.25,1.9032205516144487,0.028689539112793937
random25,south_210m35,matched_shift,knn20,0.25,1.2716773548273357,0.017073085499420434
random25,des_315m45,real,mean,0.25,0.9691097459698309,-0.03497152515468203
random25,des_315m45,real,gaussian,0.25,0.9804908057411708,0.1051049246073357
random25,des_315m45,real,pca,0.25,1.3078152672275887,0.062276558857581155
random25,des_315m45,real,knn20,0.25,0.996454641033558,0.062080082851695785
random25,des_315m45,matched_shift,mean,0.25,0.9691097459698309,-0.03497152515468203
random25,des_315m45,matched_shift,gaussian,0.25,1.0296894671081747,-0.014114953988523424
random25,des_315m45,matched_shift,pca,0.25,1.5092359936100435,-0.01692542325425972
random25,des_315m45,matched_shift,knn20,0.25,1.0248510448695631,-0.02717302744415414
random25,south_330m45,real,mean,0.25,0.7475217587871955,-0.02478928301483539
random25,south_330m45,real,gaussian,0.25,0.7642826061564693,0.13333480795381428
random25,south_330m45,real,pca,0.25,1.0399412478635703,0.06007556439865806
random25,south_330m45,real,knn20,0.25,0.7915372154468705,0.03744463997799076
random25,south_330m45,matched_shift,mean,0.25,0.7475217587871955,-0.02478928301483539
random25,south_330m45,matched_shift,gaussian,0.25,0.7921656514610815,0.004713157708607808
random25,south_330m45,matched_shift,pca,0.25,1.1402709106656754,0.012434476201802824
random25,south_330m45,matched_shift,knn20,0.25,0.7952837014031325,-0.01018568952281755
random25,south_345m30,real,mean,0.25,1.1150719844784396,-0.0051265246315020715
random25,south_345m30,real,gaussian,0.25,1.0202946006840765,0.2865930201511338
random25,south_345m30,real,pca,0.25,1.3614841066770809,0.18353418322727752
random25,south_345m30,real,knn20,0.25,1.0924283855478296,0.1764290662629493
random25,south_345m30,matched_shift,mean,0.25,1.1150719844784396,-0.0051265246315020715
random25,south_345m30,matched_shift,gaussian,0.25,1.140964279974602,0.06878051744955443
random25,south_345m30,matched_shift,pca,0.25,1.5595881859538279,0.05720664960163762
random25,south_345m30,matched_shift,knn20,0.25,1.1322424350699487,0.0666240535018711
