field,motif,observed_ring_auc,selection_r_auc,selection_griz_auc,count_r_r2,count_griz_r2,constant_residual_rho,selection_r_residual_rho,selection_griz_residual_rho,selection_griz_shift_rho
f00_ra156_p05,void,0.609090909090909,0.5933884297520662,0.5537190082644627,0.009968095883906458,0.0072126444871064566,0.4538965437414621,0.3641579731743665,0.4030280449803549,0.12967077631757212
f00_ra156_p05,overdense,0.6654411764705882,0.4287330316742082,0.5667420814479639,0.009968095883906458,0.0072126444871064566,0.4538965437414621,0.3641579731743665,0.4030280449803549,0.12967077631757212
f00_ra156_p05,peak,0.5486322188449848,0.5009448223733938,0.5961191494141516,0.009968095883906458,0.0072126444871064566,0.4538965437414621,0.3641579731743665,0.4030280449803549,0.12967077631757212
f01_ra132_m05,void,0.7682539682539683,0.6511111111111112,0.620952380952381,-0.0006985293095569385,-0.00709501315837624,0.29211548818112826,0.2738471750643645,0.24884120171673817,-0.0970976253298153
f01_ra132_m05,overdense,0.7382539682539683,0.623015873015873,0.6025396825396825,-0.0006985293095569385,-0.00709501315837624,0.29211548818112826,0.2738471750643645,0.24884120171673817,-0.0970976253298153
f01_ra132_m05,peak,0.632365892570459,0.5382281205164993,0.6847202295552367,-0.0006985293095569385,-0.00709501315837624,0.29211548818112826,0.2738471750643645,0.24884120171673817,-0.0970976253298153
f02_ra144_p15,void,0.7173160173160174,0.5398268398268399,0.47316017316017317,0.018919156034025164,0.015769401396946936,0.35003820377909025,0.3252440464813132,0.28733466180304855,-0.17603639519559908
f02_ra144_p15,overdense,0.6766233766233767,0.45532467532467535,0.5212121212121212,0.018919156034025164,0.015769401396946936,0.35003820377909025,0.3252440464813132,0.28733466180304855,-0.17603639519559908
f02_ra144_p15,peak,0.677751756440281,0.49003516998827665,0.5463071512309495,0.018919156034025164,0.015769401396946936,0.35003820377909025,0.3252440464813132,0.28733466180304855,-0.17603639519559908
f03_ra036_m35,void,0.8588522588522588,0.7492063492063492,0.7538461538461538,-0.015840087972193385,-0.017936995883123252,0.5737943960323949,0.5786734686375664,0.5617359516839509,-0.01592206894450689
f03_ra036_m35,overdense,0.8449275362318841,0.7478260869565218,0.7753623188405797,-0.015840087972193385,-0.017936995883123252,0.5737943960323949,0.5786734686375664,0.5617359516839509,-0.01592206894450689
f03_ra036_m35,peak,0.7493049110949238,0.6153928876541961,0.6545312639118813,-0.015840087972193385,-0.017936995883123252,0.5737943960323949,0.5786734686375664,0.5617359516839509,-0.01592206894450689
