motif,ring_mean_median,full8_median,n_fields,positive_fields,sign_test_one_sided_p,wilcoxon_one_sided_p,mean_advantage,median_advantage,bootstrap_mean_ci95
void,0.7498538011695907,0.7487540944247226,48,32,0.014652473360264654,0.010529002038415405,0.006323505655514911,0.007987882653061218,"[0.0002556707307301358, 0.012414030575604765]"
overdense,0.7729629094644261,0.7710888145670755,48,28,0.15616340373663468,0.22147458445062884,-0.0005832352674525083,0.0027974932044699252,"[-0.006346645647593449, 0.004649748480950579]"
peak,0.6661129568106312,0.6747999698067633,48,21,0.8438365962633654,0.8799265341377105,-0.011394612496295392,-0.004114295290765901,"[-0.027778353176051995, 0.004731760223419741]"
