metric,real_median,matched_shift_median,n_fields,positive_fields,sign_test_one_sided_p,wilcoxon_one_sided_p,mean_advantage,median_advantage,bootstrap_mean_ci95
gaussian_corr,0.19534303162296118,-0.0028096464735294538,48,48,3.552713678800501e-15,3.552713678800501e-15,0.23815070739465513,0.19665716144565504,"[0.20361767774225886, 0.27713668592539026]"
void_ring_mean_auc,0.7498538011695907,0.48792613636363635,48,46,4.1815439999481896e-12,1.7763568394002505e-14,0.26279629552164446,0.24288792075137908,"[0.2195444910764868, 0.3058489257003223]"
overdense_ring_mean_auc,0.7729629094644261,0.4811721611721612,48,45,6.562927978848165e-11,3.907985046680551e-13,0.2748535731947537,0.2915370813397129,"[0.22902239740697122, 0.3182015469026897]"
peak_ring_mean_auc,0.6661129568106312,0.49448470209339773,48,39,7.610913055344782e-06,1.0406472839008529e-07,0.170379821157666,0.1547025589896976,"[0.11218052259484317, 0.22727774587383992]"
void_full8_auc,0.7487540944247226,0.470703125,48,47,1.7408297026122455e-13,3.552713678800501e-14,0.28451411253452935,0.27358549031700247,"[0.2417440642507326, 0.32807949948898363]"
overdense_full8_auc,0.7710888145670755,0.5331747423867291,48,44,7.569163074094831e-10,3.907985046680551e-13,0.24351249296269276,0.23758608517056592,"[0.19875078180828434, 0.2878886386901934]"
peak_full8_auc,0.6747999698067633,0.5058296172426607,48,42,5.0437410692438795e-08,5.5823363709350815e-09,0.16399822868737904,0.14522347447943643,"[0.11395671713278333, 0.21338762794751426]"
gaussian_mse,0.8944046002557611,0.9473673635615472,48,46,4.1815439999481896e-12,1.7763568394002505e-14,0.0928172327252715,0.0576580937170737,"[0.054585672438041154, 0.15546495560463985]"
