field,sample,gaussian_corr,gaussian_mse,void_ring_mean_auc,void_full8_auc,overdense_ring_mean_auc,overdense_full8_auc,peak_ring_mean_auc,peak_full8_auc
f00_ra156_p05,real,0.2619263714300994,0.8539099863504678,0.7238636363636364,0.7022727272727274,0.8799313893653516,0.8696397941680961,0.84375,0.765625
f00_ra156_p05,matched_shift,-0.052800653353869145,0.9347910661994193,0.5011363636363636,0.47840909090909095,0.4528301886792453,0.5591766723842195,0.3995535714285714,0.421875
f01_ra132_m05,real,0.19294125301014692,0.9938800280386404,0.93734335839599,0.93734335839599,0.7136363636363636,0.7261363636363637,0.6052083333333333,0.5635416666666667
f01_ra132_m05,matched_shift,0.03214400840786842,1.0422325891611117,0.42105263157894735,0.5764411027568923,0.41477272727272724,0.40909090909090906,0.4125,0.47395833333333337
f02_ra144_p15,real,0.18200527483809084,1.0173934916306955,0.6079545454545454,0.5681818181818181,0.9448621553884713,0.9273182957393484,0.53125,0.5089285714285714
f02_ra144_p15,matched_shift,0.018862817573664734,1.0593455561775447,0.44999999999999996,0.5147727272727273,0.5864661654135339,0.7418546365914787,0.6160714285714286,0.5513392857142858
f03_ra036_m35,real,0.24670367045188932,0.8519777778841024,0.690863579474343,0.7083854818523154,0.797979797979798,0.8020202020202021,0.48850574712643674,0.5172413793103448
f03_ra036_m35,matched_shift,0.006387193534694736,0.9191760829174606,0.5844806007509387,0.4831038798498123,0.7878787878787878,0.6646464646464647,0.5488505747126438,0.5229885057471264
f04_ra180_m05,real,0.13802989923869766,1.1839483569781373,0.7734668335419274,0.7634543178973717,0.6282051282051282,0.5641025641025641,0.6396103896103896,0.6731601731601732
f04_ra180_m05,matched_shift,0.03457552330547018,1.1819916071562433,0.528160200250313,0.5682102628285357,0.5592948717948718,0.6057692307692308,0.5984848484848484,0.5660173160173161
f05_ra276_m55,real,0.10720266872744065,1.069326592478354,0.6670838548185232,0.6770963704630789,0.5558035714285714,0.5245535714285714,0.6868686868686869,0.6787878787878787
f05_ra276_m55,matched_shift,-0.012131723072369574,1.0862222483320623,0.36670838548185236,0.33416770963704634,0.5491071428571428,0.5580357142857143,0.6262626262626263,0.6202020202020202
f06_ra072_m05,real,0.30491976744436317,0.7075666554193987,0.7906432748538011,0.8011695906432749,0.7855917667238421,0.7873070325900515,0.6033898305084746,0.6067796610169491
f06_ra072_m05,matched_shift,0.0663130079805276,0.7773919493221736,0.5637426900584794,0.5707602339181287,0.4493996569468267,0.451114922813036,0.45084745762711864,0.35593220338983056
f07_ra216_m05,real,0.16375493077254813,0.8738603525521822,0.766025641025641,0.7291666666666667,0.7338056680161944,0.7267206477732794,0.6267232237539766,0.6129374337221632
f07_ra216_m05,matched_shift,-0.030486301595427853,0.9349662594340893,0.5592948717948717,0.5336538461538463,0.5020242914979757,0.6082995951417005,0.4559915164369035,0.4697773064687168
f08_ra336_m25,real,0.44285142214976614,0.5544720808132212,0.942684766214178,0.9396681749622926,0.8682170542635659,0.8715393133997785,0.7158469945355191,0.7540983606557378
f08_ra336_m25,matched_shift,-0.011516851554597831,0.7062799017824924,0.34087481146304677,0.3453996983408748,0.3875968992248062,0.45736434108527135,0.5245901639344263,0.7540983606557377
f09_ra216_p15,real,0.21717909642453337,1.0636546621657301,0.7164502164502164,0.7067099567099567,0.6722037652270211,0.6699889258028793,0.6944444444444444,0.6461352657004831
f09_ra216_p15,matched_shift,0.010424972204064754,1.1233635624708227,0.487012987012987,0.4880952380952381,0.5703211517165006,0.5514950166112956,0.4685990338164251,0.3321256038647343
f10_ra240_m35,real,0.5880908224626497,3.2219063190706025,0.9447916666666667,0.9364583333333333,0.8095238095238095,0.8270676691729324,0.9523809523809523,0.7777777777777778
f10_ra240_m35,matched_shift,0.0026332038673195163,4.527515443150637,0.5125000000000001,0.5197916666666667,0.5062656641604011,0.3609022556390978,0.6031746031746033,0.12698412698412698
f11_ra060_m35,real,0.25820349411795057,0.8335635142748796,0.7242857142857143,0.7728571428571429,0.7729789590254706,0.7940199335548173,0.5857487922705314,0.5893719806763285
f11_ra060_m35,matched_shift,-0.04207289415243451,0.9206220188858751,0.6571428571428573,0.6057142857142856,0.4994462901439646,0.36766334440753046,0.4963768115942029,0.5084541062801933
